elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4206.84,4203.36,52833108583,4908356400,4908.36,1895.13,1212876.43,8.47E+11,23997863266,24,5.76,19455434.26
4206.85,4203.37,52847289497,4909673850,4909.67,1895.64,1213201.98,8.48E+11,24013205784,24.01,5.76,19467872.67
4206.86,4203.38,52863388539,4911169500,4911.17,1896.21,1213571.56,8.49E+11,24027821726,24.03,5.76,19479722.04
4206.87,4203.39,52877139166,4912446975,4912.45,1896.71,1213887.23,8.49E+11,24043172971,24.04,5.77,19492167.53
4206.88,4203.4,52889912967,4913633700,4913.63,1897.16,1214180.47,8.50E+11,24057796878,24.06,5.77,19504023.35
4206.89,4203.41,52906880927,4915210075,4915.21,1897.77,1214570,8.50E+11,24073155876,24.07,5.78,19516475.13
4206.9,4203.42,52919589607,4916390750,4916.39,1898.23,1214861.75,8.51E+11,24087787998,24.09,5.78,19528337.61
4206.91,4203.43,52933455945,4917678975,4917.68,1898.73,1215180.08,8.51E+11,24103155568,24.1,5.78,19540796.33
4206.92,4203.44,52946442065,4918885425,4918.89,1899.19,1215478.2,8.52E+11,24117795067,24.12,5.79,19552664.8
4206.93,4203.45,52963816093,4920499525,4920.5,1899.82,1215877.05,8.52E+11,24133171139,24.13,5.79,19565130.41
4206.94,4203.46,52977060008,4921729925,4921.73,1900.29,1216181.09,8.53E+11,24147819063,24.15,5.79,19577005.71
4206.95,4203.47,52991419603,4923063975,4923.06,1900.81,1216510.74,8.53E+11,24163203395,24.16,5.8,19589478.02
4206.96,4203.48,53020247508,4925742175,4925.74,1901.84,1217172.53,8.54E+11,24177860898,24.18,5.8,19601361.09
4206.97,4203.49,53034603335,4927075875,4927.08,1902.35,1217502.09,8.54E+11,24193257767,24.19,5.8,19613843.56
4206.98,4203.5,53047923674,4928313375,4928.31,1902.83,1217807.89,8.55E+11,24207925272,24.21,5.81,19625734.73
4206.99,4203.51,53065585367,4929954200,4929.95,1903.47,1218213.34,8.55E+11,24223330387,24.22,5.81,19638223.89
4207,4203.52,53078796991,4931181600,4931.18,1903.94,1218516.64,8.56E+11,24238006447,24.24,5.82,19650122
4207.01,4203.53,53092744059,4932477325,4932.48,1904.44,1218836.82,8.56E+11,24252686238,24.25,5.82,19662023.13
4207.02,4203.54,53106539894,4933759000,4933.76,1904.93,1219153.52,8.57E+11,24268104053,24.27,5.82,19674522.59
4207.03,4203.55,53129573047,4935898850,4935.9,1905.76,1219682.29,8.58E+11,24282793780,24.28,5.83,19686431.78
4207.04,4203.56,53143351660,4937178925,4937.18,1906.26,1219998.6,8.58E+11,24298222278,24.3,5.83,19698939.89
4207.05,4203.57,53157197547,4938465250,4938.47,1906.75,1220316.46,8.59E+11,24312919889,24.31,5.83,19710855.47
4207.06,4203.58,53174554083,4940077725,4940.08,1907.37,1220714.91,8.59E+11,24328357008,24.33,5.84,19723370.58
4207.07,4203.59,53188416116,4941365550,4941.37,1907.87,1221033.14,8.60E+11,24343063249,24.34,5.84,19735293.15
4207.08,4203.6,53202324972,4942657725,4942.66,1908.37,1221352.44,8.60E+11,24358508848,24.36,5.84,19747815.14
4207.09,4203.61,53278551757,4949739425,4949.74,1911.11,1223102.36,8.61E+11,24373228811,24.37,5.85,19759748.84
4207.1,4203.62,53292506898,4951035900,4951.04,1911.61,1223422.72,8.61E+11,24388700586,24.39,5.85,19772292.04
4207.11,4203.63,53306716336,4952356000,4952.36,1912.12,1223748.92,8.62E+11,24403439486,24.4,5.85,19784241.09
4207.12,4203.64,53323876162,4953950200,4953.95,1912.73,1224142.86,8.62E+11,24418919532,24.42,5.86,19796791
4207.13,4203.65,53338092327,4955270925,4955.27,1913.24,1224469.21,8.63E+11,24433667110,24.43,5.86,19808747.09
